ondnr;gendergelijkheid;implementatie_werknemersrechten;sociale_relaties;werkgelegenheid;organisatie_op_het_werk;gezondheid_en_veiligheid;opleidingsbeleid;SDg;gebruik_van_energiebronnen;gebruik_van_waterbronnen;emissies_van_broeikasgassen;vervuilende_uitstoot;milieu_impact;impact_op_gezondheid_en_veiligheid;verdere_eisen_over_bepaalde_onderwerpen;milieu_beleid;SDGs
0405999438;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0
0406004386;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0406017749;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0406019333;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
0406037545;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
0406044275;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0406047344;0;0;0;0;2;1;0;0;1;0;4;5;8;1;0;0;0
0406055460;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0
0406056945;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0406067041;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
0406076246;0;0;0;0;0;1;0;0;0;0;0;0;3;0;0;0;0
0406101683;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0406115244;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0406122172;0;0;0;1;1;6;12;0;0;0;2;2;11;0;0;5;0
0406122766;0;0;0;0;23;2;0;0;4;1;48;8;9;1;0;1;0
0406134644;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0406233525;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0406246490;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0406258071;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0406325674;0;0;0;14;1;2;6;0;0;0;0;0;4;0;1;0;0
0406329733;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0406353289;0;1;0;1;0;0;1;0;0;0;0;0;14;1;0;0;0
0406371503;0;0;0;0;0;0;4;0;0;0;0;0;1;0;0;0;0
0406383082;0;0;0;3;0;3;0;0;0;0;0;0;0;0;0;0;0
0406393475;0;0;0;0;0;0;7;0;0;0;0;20;0;0;0;0;0
0406397831;0;0;0;7;0;0;0;0;0;0;2;0;0;0;0;0;0
0406435245;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0406435344;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
0406440985;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0406443955;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
0406484636;0;0;0;0;0;1;1;0;0;0;10;0;0;0;2;0;0
0406486418;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0406493940;0;0;0;8;0;0;0;0;0;0;0;0;2;0;0;0;0
0406498888;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
