ondnr, ,perc, ,score
412781421,    ,9.0,    ,D
412796267,    ,12.0,    ,D
412799930,    ,8.0,    ,D
412801613,    ,10.0,    ,D
412809531,    ,7.0,    ,D
412820617,    ,11.0,    ,D
412836453,    ,5.0,    ,D
412839225,    ,9.0,    ,D
412850905,    ,18.0,    ,D
412860605,    ,6.0,    ,D
412869612,    ,5.0,    ,D
412870996,    ,10.0,    ,D
412904650,    ,4.0,    ,D
412910588,    ,6.0,    ,D
412925535,    ,8.0,    ,D
412930186,    ,14.0,    ,D
412930483,    ,10.0,    ,D
412951170,    ,5.0,    ,D
412959484,    ,8.0,    ,D
412968887,    ,12.0,    ,D
412984032,    ,5.0,    ,D
412994920,    ,6.0,    ,D
412995118,    ,10.0,    ,D
412998581,    ,6.0,    ,D
413005214,    ,20.0,    ,D
413016496,    ,8.0,    ,D
413025010,    ,8.0,    ,D
413031443,    ,5.0,    ,D
413067174,    ,5.0,    ,D
413093504,    ,5.0,    ,D
413094888,    ,5.0,    ,D
413097462,    ,8.0,    ,D
413118149,    ,7.0,    ,D
