ondernemingsnummer;aantal;omzet;balanstotaal;framework;soort;sector
657814012;18;2245857.0;548499;Nee;None;Rusthuizen voor ouderen (R.O.B.)
437572443;8;2241211.0;29666120;Nee;None;Detailhandel in computers, randapparatuur en software in gespecialiseerde winkels
669639795;14;1890042.0;667403;Nee;None;Computerconsultancy
463106605;8;2227336.0;307460344;Nee;None;Activiteiten van hoofdkantoren
407602017;148;2226865.0;4047201;Nee;None;Beschutte en sociale werkplaatsen
473120270;4;2843196.0;876063;Nee;None;Groothandel in vaste, vloeibare en gasvormige brandstoffen en aanverwante producten
430150755;10;2080559.0;1197089;Nee;None;Groothandel in andere kantoormachines en kantoorbenodigdheden, met uitzondering van computers en randapparatuur
810709469;4;1171937.0;1312681;Nee;None;Groothandel in fietsen
430422256;22;2393699.0;1213678;Nee;None;Goederenvervoer over de weg, m.u.v. verhuisbedrijven
456851192;13;2652672.0;2540709;Nee;None;Detailhandel in dames
471853728;20;2169288.0;1129591;Nee;None;Algemeen onderhoud en reparatie van overige motorvoertuigen (> 3,5 ton)
535656071;42;2710741.0;1669968;Nee;None;Goederenvervoer over de weg, m.u.v. verhuisbedrijven
631815438;52;2147999.0;1083635;Nee;None;Eetgelegenheden met volledige bediening
881506009;6;2271871.0;2238489;Nee;None;Schrijven van computerprogramma's
415848601;283;2124827.0;20582356;Nee;None;Instellingen met huisvesting voor volwassenen met een mentale handicap
861711673;16;2113501.0;7915767;Nee;None;Groothandel in groenten en fruit, m.u.v. consumptieaardappelen
454416789;14;2110582.0;2992167;Nee;None;Schrijnwerk
875487851;24;1975307.0;901191;Nee;None;Goederenvervoer over de weg, m.u.v. verhuisbedrijven
644696345;18;2100087.0;5193331;Nee;None;Ingenieurs en aanverwante technische adviseurs, exclusief landmeters
678585571;41;2092290.0;882100;Nee;None;Overige vervoerondersteunende activiteiten
446851680;0;0.0;0;Nee;0;Groothandel in spellen en speelgoed
822127458;35;2073916.0;1329128;Nee;None;Serviceflats voor ouderen
555735368;9;2029481.0;1271196;Nee;None;Draadloze telecommunicatie
871963979;21;2061918.0;758482545;Nee;None;Vermogensbeheer
866066577;2;2061695.0;911695;Nee;None;Holdings
413695201;29;2045876.0;1763654;Nee;None;Bouw van bruggen en tunnels
644447709;14;1928415.0;787964;Nee;None;Detailhandel in dames
400818252;10;2008475.0;2106727;Nee;None;Personenvervoer te land binnen steden of voorsteden
839416620;9;1719711.0;701757;Nee;None;Algemene bouw van residentiï¿½le gebouwen
448800786;145;2001027.0;5126259;Nee;None;Beschutte en sociale werkplaatsen
420607638;16;2113501.0;7915767;Nee;None;Instellingen met huisvesting voor volwassenen met een mentale handicap
649746184;33;1976549.0;1322254;Nee;None;Rusthuizen voor ouderen (R.O.B.)
442690281;14;2058817.0;3200428;Nee;None;Groothandel in computers, randapparatuur en software
881620924;57;1954994.0;41054134;Nee;None;Overig speur
443480238;0;1954716.0;16742858;Nee;0;Bemiddeling bij de aankoop, verkoop en verhuur van onroerend goed voor een vast bedrag of op contractbasis
439620925;2;1949646.0;74154454;Nee;None;Holdings
418548268;27;1941790.0;6206462;Nee;None;Bouwrijp maken van terreinen
464124907;5;1941267.0;1165901;Nee;None;Groothandel in farmaceutische producten
462097706;0;0.0;0;Nee;0;Goederenvervoer over de weg, m.u.v. verhuisbedrijven
464062549;6;1530121.0;839906;Nee;None;Detailhandel in niet
422977804;10;1887065.0;1126296;Nee;None;Groothandel in elektrisch materiaal, inclusief installatiemateriaal
462090182;6;1883625.0;12981726;Nee;None;Verzekeringsagenten en
810281085;31;1908984.0;610343;Nee;None;Rust
453069875;54;1960759.0;3101622;Nee;None;Verhuur en lease van sport
478200397;15;1862250.0;612058;Nee;None;Groothandel in parfumerieï¿½n en cosmetica
892301812;0;0.0;0;Nee;0;Holdings
413313535;140;1857507.0;2897703;Nee;None;Beschutte en sociale werkplaatsen
897240694;6;3902301.0;1050613;Nee;None;Overige adviesbureaus op het gebied van bedrijfsbeheer, adviesbureaus op het gebied van bedrijfsvoering
